DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNo,Quarter,Year
20050403,2005-04-03,Sunday,15,April,Apr,4,2,2005
20050404,2005-04-04,Monday,15,April,Apr,4,2,2005
20050405,2005-04-05,Tuesday,15,April,Apr,4,2,2005
20050406,2005-04-06,Wednesday,15,April,Apr,4,2,2005
20050407,2005-04-07,Thursday,15,April,Apr,4,2,2005
20050408,2005-04-08,Friday,15,April,Apr,4,2,2005
20050409,2005-04-09,Saturday,15,April,Apr,4,2,2005
20050410,2005-04-10,Sunday,16,April,Apr,4,2,2005
20050411,2005-04-11,Monday,16,April,Apr,4,2,2005
20050412,2005-04-12,Tuesday,16,April,Apr,4,2,2005
20050413,2005-04-13,Wednesday,16,April,Apr,4,2,2005
20050414,2005-04-14,Thursday,16,April,Apr,4,2,2005
20050415,2005-04-15,Friday,16,April,Apr,4,2,2005
20050416,2005-04-16,Saturday,16,April,Apr,4,2,2005
20050417,2005-04-17,Sunday,17,April,Apr,4,2,2005
20050418,2005-04-18,Monday,17,April,Apr,4,2,2005
20050419,2005-04-19,Tuesday,17,April,Apr,4,2,2005
20050420,2005-04-20,Wednesday,17,April,Apr,4,2,2005
20050421,2005-04-21,Thursday,17,April,Apr,4,2,2005
20050422,2005-04-22,Friday,17,April,Apr,4,2,2005
20050423,2005-04-23,Saturday,17,April,Apr,4,2,2005
20050424,2005-04-24,Sunday,18,April,Apr,4,2,2005
20050425,2005-04-25,Monday,18,April,Apr,4,2,2005
20050426,2005-04-26,Tuesday,18,April,Apr,4,2,2005
20050427,2005-04-27,Wednesday,18,April,Apr,4,2,2005
20050428,2005-04-28,Thursday,18,April,Apr,4,2,2005
20050429,2005-04-29,Friday,18,April,Apr,4,2,2005
20050430,2005-04-30,Saturday,18,April,Apr,4,2,2005
20050501,2005-05-01,Sunday,19,May,May,5,2,2005
20050502,2005-05-02,Monday,19,May,May,5,2,2005
20050503,2005-05-03,Tuesday,19,May,May,5,2,2005
20050504,2005-05-04,Wednesday,19,May,May,5,2,2005
20050505,2005-05-05,Thursday,19,May,May,5,2,2005
20050506,2005-05-06,Friday,19,May,May,5,2,2005
20050507,2005-05-07,Saturday,19,May,May,5,2,2005
20050508,2005-05-08,Sunday,20,May,May,5,2,2005
20050509,2005-05-09,Monday,20,May,May,5,2,2005
20050510,2005-05-10,Tuesday,20,May,May,5,2,2005
20050511,2005-05-11,Wednesday,20,May,May,5,2,2005
20050512,2005-05-12,Thursday,20,May,May,5,2,2005
20050513,2005-05-13,Friday,20,May,May,5,2,2005
20050514,2005-05-14,Saturday,20,May,May,5,2,2005
20050515,2005-05-15,Sunday,21,May,May,5,2,2005
20050516,2005-05-16,Monday,21,May,May,5,2,2005
20050517,2005-05-17,Tuesday,21,May,May,5,2,2005
20050518,2005-05-18,Wednesday,21,May,May,5,2,2005
20050519,2005-05-19,Thursday,21,May,May,5,2,2005
20050520,2005-05-20,Friday,21,May,May,5,2,2005
20050521,2005-05-21,Saturday,21,May,May,5,2,2005
20050522,2005-05-22,Sunday,22,May,May,5,2,2005
20050523,2005-05-23,Monday,22,May,May,5,2,2005
20050524,2005-05-24,Tuesday,22,May,May,5,2,2005
20050525,2005-05-25,Wednesday,22,May,May,5,2,2005
20050526,2005-05-26,Thursday,22,May,May,5,2,2005
20050527,2005-05-27,Friday,22,May,May,5,2,2005
20050528,2005-05-28,Saturday,22,May,May,5,2,2005
20050529,2005-05-29,Sunday,23,May,May,5,2,2005
20050530,2005-05-30,Monday,23,May,May,5,2,2005
20050531,2005-05-31,Tuesday,23,May,May,5,2,2005
20050601,2005-06-01,Wednesday,23,June,Jun,6,2,2005
20050602,2005-06-02,Thursday,23,June,Jun,6,2,2005
20050603,2005-06-03,Friday,23,June,Jun,6,2,2005
20050604,2005-06-04,Saturday,23,June,Jun,6,2,2005
20050605,2005-06-05,Sunday,24,June,Jun,6,2,2005
20050606,2005-06-06,Monday,24,June,Jun,6,2,2005
20050607,2005-06-07,Tuesday,24,June,Jun,6,2,2005
20050608,2005-06-08,Wednesday,24,June,Jun,6,2,2005
20050609,2005-06-09,Thursday,24,June,Jun,6,2,2005
20050610,2005-06-10,Friday,24,June,Jun,6,2,2005
20050611,2005-06-11,Saturday,24,June,Jun,6,2,2005
20050612,2005-06-12,Sunday,25,June,Jun,6,2,2005
20050613,2005-06-13,Monday,25,June,Jun,6,2,2005
20050614,2005-06-14,Tuesday,25,June,Jun,6,2,2005
20050615,2005-06-15,Wednesday,25,June,Jun,6,2,2005
20050616,2005-06-16,Thursday,25,June,Jun,6,2,2005
20050617,2005-06-17,Friday,25,June,Jun,6,2,2005
20050618,2005-06-18,Saturday,25,June,Jun,6,2,2005
20050619,2005-06-19,Sunday,26,June,Jun,6,2,2005
20050620,2005-06-20,Monday,26,June,Jun,6,2,2005
20050621,2005-06-21,Tuesday,26,June,Jun,6,2,2005
20050622,2005-06-22,Wednesday,26,June,Jun,6,2,2005
20050623,2005-06-23,Thursday,26,June,Jun,6,2,2005
20050624,2005-06-24,Friday,26,June,Jun,6,2,2005
20050625,2005-06-25,Saturday,26,June,Jun,6,2,2005
20050626,2005-06-26,Sunday,27,June,Jun,6,2,2005
20050627,2005-06-27,Monday,27,June,Jun,6,2,2005
20050628,2005-06-28,Tuesday,27,June,Jun,6,2,2005
20050629,2005-06-29,Wednesday,27,June,Jun,6,2,2005
20050630,2005-06-30,Thursday,27,June,Jun,6,2,2005
20050701,2005-07-01,Friday,27,July,Jul,7,3,2005
20050702,2005-07-02,Saturday,27,July,Jul,7,3,2005
20050703,2005-07-03,Sunday,28,July,Jul,7,3,2005
20050704,2005-07-04,Monday,28,July,Jul,7,3,2005
20050705,2005-07-05,Tuesday,28,July,Jul,7,3,2005
20050706,2005-07-06,Wednesday,28,July,Jul,7,3,2005
20050707,2005-07-07,Thursday,28,July,Jul,7,3,2005
20050708,2005-07-08,Friday,28,July,Jul,7,3,2005
20050709,2005-07-09,Saturday,28,July,Jul,7,3,2005
20050710,2005-07-10,Sunday,29,July,Jul,7,3,2005
20050711,2005-07-11,Monday,29,July,Jul,7,3,2005
20050712,2005-07-12,Tuesday,29,July,Jul,7,3,2005
20050713,2005-07-13,Wednesday,29,July,Jul,7,3,2005
20050714,2005-07-14,Thursday,29,July,Jul,7,3,2005
20050715,2005-07-15,Friday,29,July,Jul,7,3,2005
20050716,2005-07-16,Saturday,29,July,Jul,7,3,2005
20050717,2005-07-17,Sunday,30,July,Jul,7,3,2005
20050718,2005-07-18,Monday,30,July,Jul,7,3,2005
20050719,2005-07-19,Tuesday,30,July,Jul,7,3,2005
20050720,2005-07-20,Wednesday,30,July,Jul,7,3,2005
20050721,2005-07-21,Thursday,30,July,Jul,7,3,2005
20050722,2005-07-22,Friday,30,July,Jul,7,3,2005
20050723,2005-07-23,Saturday,30,July,Jul,7,3,2005
20050724,2005-07-24,Sunday,31,July,Jul,7,3,2005
20050725,2005-07-25,Monday,31,July,Jul,7,3,2005
20050726,2005-07-26,Tuesday,31,July,Jul,7,3,2005
20050727,2005-07-27,Wednesday,31,July,Jul,7,3,2005
20050728,2005-07-28,Thursday,31,July,Jul,7,3,2005
20050729,2005-07-29,Friday,31,July,Jul,7,3,2005
20050730,2005-07-30,Saturday,31,July,Jul,7,3,2005
20050731,2005-07-31,Sunday,32,July,Jul,7,3,2005
20050801,2005-08-01,Monday,32,August,Aug,8,3,2005
20050802,2005-08-02,Tuesday,32,August,Aug,8,3,2005
20050803,2005-08-03,Wednesday,32,August,Aug,8,3,2005
20050804,2005-08-04,Thursday,32,August,Aug,8,3,2005
20050805,2005-08-05,Friday,32,August,Aug,8,3,2005
20050806,2005-08-06,Saturday,32,August,Aug,8,3,2005
20050807,2005-08-07,Sunday,33,August,Aug,8,3,2005
20050808,2005-08-08,Monday,33,August,Aug,8,3,2005
20050809,2005-08-09,Tuesday,33,August,Aug,8,3,2005
20050810,2005-08-10,Wednesday,33,August,Aug,8,3,2005
20050811,2005-08-11,Thursday,33,August,Aug,8,3,2005
20050812,2005-08-12,Friday,33,August,Aug,8,3,2005
20050813,2005-08-13,Saturday,33,August,Aug,8,3,2005
20050814,2005-08-14,Sunday,34,August,Aug,8,3,2005
20050815,2005-08-15,Monday,34,August,Aug,8,3,2005
20050816,2005-08-16,Tuesday,34,August,Aug,8,3,2005
20050817,2005-08-17,Wednesday,34,August,Aug,8,3,2005
20050818,2005-08-18,Thursday,34,August,Aug,8,3,2005
20050819,2005-08-19,Friday,34,August,Aug,8,3,2005
20050820,2005-08-20,Saturday,34,August,Aug,8,3,2005
20050821,2005-08-21,Sunday,35,August,Aug,8,3,2005
20050822,2005-08-22,Monday,35,August,Aug,8,3,2005
20050823,2005-08-23,Tuesday,35,August,Aug,8,3,2005
20050824,2005-08-24,Wednesday,35,August,Aug,8,3,2005
20050825,2005-08-25,Thursday,35,August,Aug,8,3,2005
20050826,2005-08-26,Friday,35,August,Aug,8,3,2005
20050827,2005-08-27,Saturday,35,August,Aug,8,3,2005
20050828,2005-08-28,Sunday,36,August,Aug,8,3,2005
20050829,2005-08-29,Monday,36,August,Aug,8,3,2005
20050830,2005-08-30,Tuesday,36,August,Aug,8,3,2005
20050831,2005-08-31,Wednesday,36,August,Aug,8,3,2005
20050901,2005-09-01,Thursday,36,September,Sep,9,3,2005
20050902,2005-09-02,Friday,36,September,Sep,9,3,2005
20050903,2005-09-03,Saturday,36,September,Sep,9,3,2005
20050904,2005-09-04,Sunday,37,September,Sep,9,3,2005
20050905,2005-09-05,Monday,37,September,Sep,9,3,2005
20050906,2005-09-06,Tuesday,37,September,Sep,9,3,2005
20050907,2005-09-07,Wednesday,37,September,Sep,9,3,2005
20050908,2005-09-08,Thursday,37,September,Sep,9,3,2005
20050909,2005-09-09,Friday,37,September,Sep,9,3,2005
20050910,2005-09-10,Saturday,37,September,Sep,9,3,2005
20050911,2005-09-11,Sunday,38,September,Sep,9,3,2005
20050912,2005-09-12,Monday,38,September,Sep,9,3,2005
20050913,2005-09-13,Tuesday,38,September,Sep,9,3,2005
20050914,2005-09-14,Wednesday,38,September,Sep,9,3,2005
20050915,2005-09-15,Thursday,38,September,Sep,9,3,2005
20050916,2005-09-16,Friday,38,September,Sep,9,3,2005
20050917,2005-09-17,Saturday,38,September,Sep,9,3,2005
20050918,2005-09-18,Sunday,39,September,Sep,9,3,2005
20050919,2005-09-19,Monday,39,September,Sep,9,3,2005
20050920,2005-09-20,Tuesday,39,September,Sep,9,3,2005
20050921,2005-09-21,Wednesday,39,September,Sep,9,3,2005
20050922,2005-09-22,Thursday,39,September,Sep,9,3,2005
20050923,2005-09-23,Friday,39,September,Sep,9,3,2005
20050924,2005-09-24,Saturday,39,September,Sep,9,3,2005
20050925,2005-09-25,Sunday,40,September,Sep,9,3,2005
20050926,2005-09-26,Monday,40,September,Sep,9,3,2005
20050927,2005-09-27,Tuesday,40,September,Sep,9,3,2005
20050928,2005-09-28,Wednesday,40,September,Sep,9,3,2005
20050929,2005-09-29,Thursday,40,September,Sep,9,3,2005
20050930,2005-09-30,Friday,40,September,Sep,9,3,2005
20051001,2005-10-01,Saturday,40,October,Oct,10,4,2005
20051002,2005-10-02,Sunday,41,October,Oct,10,4,2005
20051003,2005-10-03,Monday,41,October,Oct,10,4,2005
20051004,2005-10-04,Tuesday,41,October,Oct,10,4,2005
20051005,2005-10-05,Wednesday,41,October,Oct,10,4,2005
20051006,2005-10-06,Thursday,41,October,Oct,10,4,2005
20051007,2005-10-07,Friday,41,October,Oct,10,4,2005
20051008,2005-10-08,Saturday,41,October,Oct,10,4,2005
20051009,2005-10-09,Sunday,42,October,Oct,10,4,2005
20051010,2005-10-10,Monday,42,October,Oct,10,4,2005
20051011,2005-10-11,Tuesday,42,October,Oct,10,4,2005
20051012,2005-10-12,Wednesday,42,October,Oct,10,4,2005
20051013,2005-10-13,Thursday,42,October,Oct,10,4,2005
20051014,2005-10-14,Friday,42,October,Oct,10,4,2005
20051015,2005-10-15,Saturday,42,October,Oct,10,4,2005
20051016,2005-10-16,Sunday,43,October,Oct,10,4,2005
20051017,2005-10-17,Monday,43,October,Oct,10,4,2005
20051018,2005-10-18,Tuesday,43,October,Oct,10,4,2005
20051019,2005-10-19,Wednesday,43,October,Oct,10,4,2005
20051020,2005-10-20,Thursday,43,October,Oct,10,4,2005
20051021,2005-10-21,Friday,43,October,Oct,10,4,2005
20051022,2005-10-22,Saturday,43,October,Oct,10,4,2005
20051023,2005-10-23,Sunday,44,October,Oct,10,4,2005
20051024,2005-10-24,Monday,44,October,Oct,10,4,2005
20051025,2005-10-25,Tuesday,44,October,Oct,10,4,2005
20051026,2005-10-26,Wednesday,44,October,Oct,10,4,2005
20051027,2005-10-27,Thursday,44,October,Oct,10,4,2005
20051028,2005-10-28,Friday,44,October,Oct,10,4,2005
20051029,2005-10-29,Saturday,44,October,Oct,10,4,2005
20051030,2005-10-30,Sunday,45,October,Oct,10,4,2005
20051031,2005-10-31,Monday,45,October,Oct,10,4,2005
20051101,2005-11-01,Tuesday,45,November,Nov,11,4,2005
20051102,2005-11-02,Wednesday,45,November,Nov,11,4,2005
20051103,2005-11-03,Thursday,45,November,Nov,11,4,2005
20051104,2005-11-04,Friday,45,November,Nov,11,4,2005
20051105,2005-11-05,Saturday,45,November,Nov,11,4,2005
20051106,2005-11-06,Sunday,46,November,Nov,11,4,2005
20051107,2005-11-07,Monday,46,November,Nov,11,4,2005
20051108,2005-11-08,Tuesday,46,November,Nov,11,4,2005
20051109,2005-11-09,Wednesday,46,November,Nov,11,4,2005
20051110,2005-11-10,Thursday,46,November,Nov,11,4,2005
20051111,2005-11-11,Friday,46,November,Nov,11,4,2005
20051112,2005-11-12,Saturday,46,November,Nov,11,4,2005
20051113,2005-11-13,Sunday,47,November,Nov,11,4,2005
20051114,2005-11-14,Monday,47,November,Nov,11,4,2005
20051115,2005-11-15,Tuesday,47,November,Nov,11,4,2005
20051116,2005-11-16,Wednesday,47,November,Nov,11,4,2005
20051117,2005-11-17,Thursday,47,November,Nov,11,4,2005
20051118,2005-11-18,Friday,47,November,Nov,11,4,2005
20051119,2005-11-19,Saturday,47,November,Nov,11,4,2005
20051120,2005-11-20,Sunday,48,November,Nov,11,4,2005
20051121,2005-11-21,Monday,48,November,Nov,11,4,2005
20051122,2005-11-22,Tuesday,48,November,Nov,11,4,2005
20051123,2005-11-23,Wednesday,48,November,Nov,11,4,2005
20051124,2005-11-24,Thursday,48,November,Nov,11,4,2005
20051125,2005-11-25,Friday,48,November,Nov,11,4,2005
20051126,2005-11-26,Saturday,48,November,Nov,11,4,2005
20051127,2005-11-27,Sunday,49,November,Nov,11,4,2005
20051128,2005-11-28,Monday,49,November,Nov,11,4,2005
20051129,2005-11-29,Tuesday,49,November,Nov,11,4,2005
20051130,2005-11-30,Wednesday,49,November,Nov,11,4,2005
20051201,2005-12-01,Thursday,49,December,Dec,12,4,2005
20051202,2005-12-02,Friday,49,December,Dec,12,4,2005
20051203,2005-12-03,Saturday,49,December,Dec,12,4,2005
20051204,2005-12-04,Sunday,50,December,Dec,12,4,2005
20051205,2005-12-05,Monday,50,December,Dec,12,4,2005
20051206,2005-12-06,Tuesday,50,December,Dec,12,4,2005
20051207,2005-12-07,Wednesday,50,December,Dec,12,4,2005
20051208,2005-12-08,Thursday,50,December,Dec,12,4,2005
20051209,2005-12-09,Friday,50,December,Dec,12,4,2005
20051210,2005-12-10,Saturday,50,December,Dec,12,4,2005
20051211,2005-12-11,Sunday,51,December,Dec,12,4,2005
20051212,2005-12-12,Monday,51,December,Dec,12,4,2005
20051213,2005-12-13,Tuesday,51,December,Dec,12,4,2005
20051214,2005-12-14,Wednesday,51,December,Dec,12,4,2005
20051215,2005-12-15,Thursday,51,December,Dec,12,4,2005
20051216,2005-12-16,Friday,51,December,Dec,12,4,2005
20051217,2005-12-17,Saturday,51,December,Dec,12,4,2005
20051218,2005-12-18,Sunday,52,December,Dec,12,4,2005
20051219,2005-12-19,Monday,52,December,Dec,12,4,2005
20051220,2005-12-20,Tuesday,52,December,Dec,12,4,2005
20051221,2005-12-21,Wednesday,52,December,Dec,12,4,2005
20051222,2005-12-22,Thursday,52,December,Dec,12,4,2005
20051223,2005-12-23,Friday,52,December,Dec,12,4,2005
20051224,2005-12-24,Saturday,52,December,Dec,12,4,2005
20051225,2005-12-25,Sunday,53,December,Dec,12,4,2005
20051226,2005-12-26,Monday,53,December,Dec,12,4,2005
20051227,2005-12-27,Tuesday,53,December,Dec,12,4,2005
20051228,2005-12-28,Wednesday,53,December,Dec,12,4,2005
20051229,2005-12-29,Thursday,53,December,Dec,12,4,2005
20051230,2005-12-30,Friday,53,December,Dec,12,4,2005
20051231,2005-12-31,Saturday,53,December,Dec,12,4,2005
20060101,2006-01-01,Sunday,1,January,Jan,1,1,2006
20060102,2006-01-02,Monday,1,January,Jan,1,1,2006
20060103,2006-01-03,Tuesday,1,January,Jan,1,1,2006
20060104,2006-01-04,Wednesday,1,January,Jan,1,1,2006
20060105,2006-01-05,Thursday,1,January,Jan,1,1,2006
20060106,2006-01-06,Friday,1,January,Jan,1,1,2006
20060107,2006-01-07,Saturday,1,January,Jan,1,1,2006
20060108,2006-01-08,Sunday,2,January,Jan,1,1,2006
20060109,2006-01-09,Monday,2,January,Jan,1,1,2006
20060110,2006-01-10,Tuesday,2,January,Jan,1,1,2006
20060111,2006-01-11,Wednesday,2,January,Jan,1,1,2006
20060112,2006-01-12,Thursday,2,January,Jan,1,1,2006
20060113,2006-01-13,Friday,2,January,Jan,1,1,2006
20060114,2006-01-14,Saturday,2,January,Jan,1,1,2006
20060115,2006-01-15,Sunday,3,January,Jan,1,1,2006
20060116,2006-01-16,Monday,3,January,Jan,1,1,2006
20060117,2006-01-17,Tuesday,3,January,Jan,1,1,2006
20060118,2006-01-18,Wednesday,3,January,Jan,1,1,2006
20060119,2006-01-19,Thursday,3,January,Jan,1,1,2006
20060120,2006-01-20,Friday,3,January,Jan,1,1,2006
20060121,2006-01-21,Saturday,3,January,Jan,1,1,2006
20060122,2006-01-22,Sunday,4,January,Jan,1,1,2006
20060123,2006-01-23,Monday,4,January,Jan,1,1,2006
20060124,2006-01-24,Tuesday,4,January,Jan,1,1,2006
20060125,2006-01-25,Wednesday,4,January,Jan,1,1,2006
20060126,2006-01-26,Thursday,4,January,Jan,1,1,2006
20060127,2006-01-27,Friday,4,January,Jan,1,1,2006
20060128,2006-01-28,Saturday,4,January,Jan,1,1,2006
20060129,2006-01-29,Sunday,5,January,Jan,1,1,2006
20060130,2006-01-30,Monday,5,January,Jan,1,1,2006
20060131,2006-01-31,Tuesday,5,January,Jan,1,1,2006
20060201,2006-02-01,Wednesday,5,February,Feb,2,1,2006
20060202,2006-02-02,Thursday,5,February,Feb,2,1,2006
20060203,2006-02-03,Friday,5,February,Feb,2,1,2006
20060204,2006-02-04,Saturday,5,February,Feb,2,1,2006
20060205,2006-02-05,Sunday,6,February,Feb,2,1,2006
20060206,2006-02-06,Monday,6,February,Feb,2,1,2006
20060207,2006-02-07,Tuesday,6,February,Feb,2,1,2006
20060208,2006-02-08,Wednesday,6,February,Feb,2,1,2006
20060209,2006-02-09,Thursday,6,February,Feb,2,1,2006
20060210,2006-02-10,Friday,6,February,Feb,2,1,2006
20060211,2006-02-11,Saturday,6,February,Feb,2,1,2006
20060212,2006-02-12,Sunday,7,February,Feb,2,1,2006
20060213,2006-02-13,Monday,7,February,Feb,2,1,2006
20060214,2006-02-14,Tuesday,7,February,Feb,2,1,2006
20060215,2006-02-15,Wednesday,7,February,Feb,2,1,2006
20060216,2006-02-16,Thursday,7,February,Feb,2,1,2006
20060217,2006-02-17,Friday,7,February,Feb,2,1,2006
20060218,2006-02-18,Saturday,7,February,Feb,2,1,2006
20060219,2006-02-19,Sunday,8,February,Feb,2,1,2006
20060220,2006-02-20,Monday,8,February,Feb,2,1,2006
20060221,2006-02-21,Tuesday,8,February,Feb,2,1,2006
20060222,2006-02-22,Wednesday,8,February,Feb,2,1,2006
20060223,2006-02-23,Thursday,8,February,Feb,2,1,2006
20060224,2006-02-24,Friday,8,February,Feb,2,1,2006
20060225,2006-02-25,Saturday,8,February,Feb,2,1,2006
20060226,2006-02-26,Sunday,9,February,Feb,2,1,2006
20060227,2006-02-27,Monday,9,February,Feb,2,1,2006
20060228,2006-02-28,Tuesday,9,February,Feb,2,1,2006
20060301,2006-03-01,Wednesday,9,March,Mar,3,1,2006
20060302,2006-03-02,Thursday,9,March,Mar,3,1,2006
20060303,2006-03-03,Friday,9,March,Mar,3,1,2006
20060304,2006-03-04,Saturday,9,March,Mar,3,1,2006
20060305,2006-03-05,Sunday,10,March,Mar,3,1,2006
20060306,2006-03-06,Monday,10,March,Mar,3,1,2006
20060307,2006-03-07,Tuesday,10,March,Mar,3,1,2006
20060308,2006-03-08,Wednesday,10,March,Mar,3,1,2006
20060309,2006-03-09,Thursday,10,March,Mar,3,1,2006
20060310,2006-03-10,Friday,10,March,Mar,3,1,2006
20060311,2006-03-11,Saturday,10,March,Mar,3,1,2006
20060312,2006-03-12,Sunday,11,March,Mar,3,1,2006
20060313,2006-03-13,Monday,11,March,Mar,3,1,2006
20060314,2006-03-14,Tuesday,11,March,Mar,3,1,2006
20060315,2006-03-15,Wednesday,11,March,Mar,3,1,2006
20060316,2006-03-16,Thursday,11,March,Mar,3,1,2006
20060317,2006-03-17,Friday,11,March,Mar,3,1,2006
20060318,2006-03-18,Saturday,11,March,Mar,3,1,2006
20060319,2006-03-19,Sunday,12,March,Mar,3,1,2006
20060320,2006-03-20,Monday,12,March,Mar,3,1,2006
20060321,2006-03-21,Tuesday,12,March,Mar,3,1,2006
20060322,2006-03-22,Wednesday,12,March,Mar,3,1,2006
20060323,2006-03-23,Thursday,12,March,Mar,3,1,2006
20060324,2006-03-24,Friday,12,March,Mar,3,1,2006
20060325,2006-03-25,Saturday,12,March,Mar,3,1,2006
20060326,2006-03-26,Sunday,13,March,Mar,3,1,2006
20060327,2006-03-27,Monday,13,March,Mar,3,1,2006
